ticker,period_end,available_date,total_assets,equity,operating_cf,capex,free_cash_flow
CI,2018-12-31,2019-02-28,153226000000.0,41028000000.0,126000000.0,182000000.0,-56000000.0
CI,2019-03-31,2019-05-02,154348000000.0,42408000000.0,3192000000.0,194000000.0,2998000000.0
CI,2019-06-30,2019-08-01,154401000000.0,43815000000.0,,,
CI,2019-09-30,2019-10-31,154847000000.0,44696000000.0,,,
CI,2019-12-31,2020-02-27,155774000000.0,45338000000.0,2793000000.0,310000000.0,2483000000.0
CI,2020-03-31,2020-05-07,154711000000.0,45079000000.0,1887000000.0,,
CI,2020-06-30,2020-08-06,159628000000.0,47366000000.0,,,
CI,2020-09-30,2020-11-05,160044000000.0,48032000000.0,,,
CI,2020-12-31,2021-02-25,155451000000.0,50321000000.0,4294000000.0,,
CI,2021-03-31,2021-05-07,152081000000.0,48149000000.0,1093000000.0,,
CI,2021-06-30,2021-08-05,154207000000.0,48709000000.0,,,
CI,2021-09-30,2021-11-04,154251000000.0,47415000000.0,,,
CI,2021-12-31,2022-02-24,154889000000.0,47112000000.0,4275000000.0,,
CI,2022-03-31,2022-05-06,152610000000.0,46087000000.0,2030000000.0,,
CI,2022-06-30,2022-08-04,152630000000.0,45892000000.0,,,
CI,2022-09-30,2022-11-03,144209000000.0,45041000000.0,,,
CI,2022-12-31,2023-02-23,143932000000.0,44872000000.0,2099000000.0,,
CI,2023-03-31,2023-05-05,147976000000.0,44502000000.0,5028000000.0,,
CI,2023-06-30,2023-08-03,150054000000.0,45445000000.0,,,
CI,2023-09-30,2023-11-02,149645000000.0,45691000000.0,,,
CI,2023-12-31,2024-02-29,152761000000.0,46223000000.0,1467000000.0,,
CI,2024-03-31,2024-05-02,153119000000.0,41181000000.0,4840000000.0,,
CI,2024-06-30,2024-08-01,155446000000.0,41332000000.0,,,
CI,2024-09-30,2024-10-31,157639000000.0,42095000000.0,,,
CI,2024-12-31,2025-02-27,155881000000.0,41033000000.0,5212000000.0,,
CI,2025-03-31,2025-05-02,150658000000.0,40226000000.0,1920000000.0,,
CI,2025-06-30,2025-07-31,151651000000.0,40214000000.0,,,
CI,2025-09-30,2025-10-30,157919000000.0,41805000000.0,,,
CI,2025-12-31,2026-02-26,157919000000.0,41713000000.0,6149000000.0,,
