ticker,period_end,available_date,net_income,total_assets,operating_cf,capex,free_cash_flow
NRG,2009-09-30,2009-11-02,278000000,25954000000.0,,,
NRG,2009-12-31,2010-02-23,33000000,23378000000.0,826000000.0,174000000.0,652000000.0
NRG,2010-03-31,2010-05-10,58000000,24578000000.0,114000000.0,185000000.0,-71000000.0
NRG,2010-06-30,2011-08-04,211000000,24578000000.0,,,
NRG,2010-09-30,2010-11-04,223000000,27419000000.0,,,
NRG,2011-03-31,2011-05-05,-260000000,25043000000.0,216000000.0,219000000.0,-3000000.0
NRG,2011-06-30,2011-08-04,621000000,25336000000.0,,,
NRG,2011-09-30,2011-11-03,-55000000,24760000000.0,,,
NRG,2011-12-31,2012-02-28,-109000000,26715000000.0,498000000.0,955000000.0,-457000000.0
NRG,2012-03-31,2012-05-03,-207000000,28530000000.0,-76000000.0,639000000.0,-715000000.0
NRG,2012-06-30,2012-08-08,251000000,27856000000.0,,,
NRG,2012-09-30,2012-11-02,-1000000,27220000000.0,,,
NRG,2012-12-31,2013-02-27,516000000,35128000000.0,91000000.0,922000000.0,-831000000.0
NRG,2013-03-31,2013-05-07,-328000000,35371000000.0,-124000000.0,813000000.0,-937000000.0
NRG,2013-06-30,2013-08-09,130000000,34492000000.0,,,
NRG,2013-09-30,2013-11-12,124000000,34863000000.0,,,
NRG,2013-12-31,2014-02-28,-312000000,33902000000.0,447000000.0,406000000.0,41000000.0
NRG,2014-03-31,2014-05-06,-56000000,34961000000.0,391000000.0,237000000.0,154000000.0
NRG,2014-06-30,2014-08-07,-97000000,37629000000.0,,,
NRG,2014-09-30,2014-11-05,168000000,40069000000.0,,,
NRG,2014-12-31,2015-02-27,119000000,40665000000.0,396000000.0,234000000.0,162000000.0
NRG,2015-03-31,2015-05-08,-120000000,40330000000.0,260000000.0,252000000.0,8000000.0
NRG,2015-06-30,2015-08-04,-14000000,40365000000.0,,,
NRG,2015-09-30,2015-11-04,66000000,39988000000.0,,,
NRG,2015-12-31,2016-02-29,-6314000000,32882000000.0,-83000000.0,394000000.0,-477000000.0
NRG,2016-03-31,2016-05-05,82000000,32680000000.0,554000000.0,279000000.0,275000000.0
NRG,2016-06-30,2016-08-09,-271000000,31422000000.0,,,
NRG,2016-09-30,2016-11-04,402000000,31491000000.0,,,
NRG,2016-12-31,2017-02-28,-987000000,30355000000.0,339000000.0,346000000.0,-7000000.0
NRG,2017-03-31,2017-05-02,-163000000,29420000000.0,-68000000.0,268000000.0,-336000000.0
NRG,2017-06-30,2017-08-03,-626000000,25205000000.0,,,
NRG,2017-09-30,2017-11-02,171000000,25470000000.0,,,
NRG,2017-12-31,2018-03-01,-1534000000,23318000000.0,581000000.0,351000000.0,230000000.0
NRG,2018-03-31,2018-05-03,279000000,23752000000.0,357000000.0,358000000.0,-1000000.0
NRG,2018-06-30,2018-08-02,72000000,22947000000.0,,,
NRG,2018-09-30,2018-11-08,-72000000,11450000000.0,,,
NRG,2018-12-31,2019-02-28,-12000000,10628000000.0,295000000.0,43000000.0,252000000.0
NRG,2019-03-31,2019-05-02,482000000,9530000000.0,-127000000.0,49000000.0,-176000000.0
NRG,2019-06-30,2019-08-07,201000000,9171000000.0,,,
NRG,2019-09-30,2019-11-07,372000000,9527000000.0,,,
NRG,2019-12-31,2020-02-27,3383000000,12531000000.0,552000000.0,45000000.0,507000000.0
NRG,2020-03-31,2020-05-07,121000000,12822000000.0,208000000.0,66000000.0,142000000.0
NRG,2020-06-30,2020-08-06,313000000,12337000000.0,,,
NRG,2020-09-30,2020-11-05,249000000,12225000000.0,,,
NRG,2020-12-31,2021-03-01,-173000000,14902000000.0,451000000.0,63000000.0,388000000.0
NRG,2021-03-31,2021-05-06,-82000000,19241000000.0,-917000000.0,63000000.0,-980000000.0
NRG,2021-06-30,2021-08-05,1078000000,21619000000.0,,,
NRG,2021-09-30,2021-11-04,1618000000,27965000000.0,,,
NRG,2021-12-31,2022-02-24,-427000000,23182000000.0,-1362000000.0,50000000.0,-1412000000.0
NRG,2022-03-31,2022-05-06,1736000000,29477000000.0,1676000000.0,60000000.0,1616000000.0
NRG,2022-06-30,2022-08-04,513000000,34335000000.0,,,
NRG,2022-09-30,2022-11-07,67000000,32243000000.0,,,
NRG,2022-12-31,2023-02-23,-1095000000,29146000000.0,-1398000000.0,117000000.0,-1515000000.0
NRG,2023-03-31,2023-05-04,-1335000000,29696000000.0,-1598000000.0,142000000.0,-1740000000.0
NRG,2023-06-30,2023-08-08,308000000,28991000000.0,,,
NRG,2023-09-30,2023-11-02,343000000,27910000000.0,,,
NRG,2023-12-31,2024-02-28,482000000,26038000000.0,241000000.0,105000000.0,136000000.0
NRG,2024-03-31,2024-05-07,511000000,25401000000.0,267000000.0,69000000.0,198000000.0
NRG,2024-06-30,2024-08-08,738000000,25762000000.0,,,
NRG,2024-09-30,2024-11-08,-767000000,23724000000.0,,,
NRG,2024-12-31,2025-02-26,643000000,24022000000.0,952000000.0,186000000.0,766000000.0
NRG,2025-03-31,2025-05-12,750000000,24991000000.0,855000000.0,217000000.0,638000000.0
NRG,2025-06-30,2025-08-06,-104000000,24088000000.0,,,
NRG,2025-09-30,2025-11-06,152000000,23971000000.0,,,
NRG,2025-12-31,2026-02-24,66000000,29140000000.0,123000000.0,298000000.0,-175000000.0
